"legis.names","party","idealpoint","sd","term","term.session","KMT.whip","DPP.whip","KMT.whipName","DPP.whipName","group.mu","ideal.distance","ideal.inter.distance","year","session","election","vote_get","vote_rate","con_size","bigdist","middist","windegree","ballotindex","sex","degree","areaName","party.D","party.K","system.change","PR.legis"
"張光錦","K",1.16652015515882,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,1.0784319013157e-05,7.05046871306414,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"台中一中;陸軍官校理學士;美飛彈學校、三軍大學陸院及兵研究所畢;","全國不分區",0,1,0,0
"張文儀","K",0.897889059854463,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0704091082152021,5.69605419593452,1996,"1",0,61142,0.0958,7,0,1,0.76605848,0.0444250483212894,1,"台灣省台中縣清水高中;","台中縣",0,1,0,0
"張旭成","D",-1.41946059388998,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00480125968929928,6.67032276257213,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"國立臺灣大學政治系學士;美國華盛頓州公立大學政治學碩士;美國哥倫比亞大學政治系博士(1969);","僑選",1,0,0,0
"張晉城","D",-0.401676841275449,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,1.18173178460714,2.44895284699331,1996,"1",0,34845,0.0578,9,1,0,0.57847464,0.00698150601726915,1,"國立台灣大學法律系畢;英國倫敦大學海商法碩士;","台北市第一選舉區",1,0,0,0
"彭百顯","D",-1.49391339840282,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,2.66429588187034e-05,7.06044402265772,1996,"1",0,68397,0.3093,3,0,0,1.23736127,0.0168159544675944,1,NA,"南投縣",1,0,0,0
"彭紹瑾","D",-1.35522553770415,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.0178292404560858,6.34264955685156,1996,"1",0,60343,0.0945,8,0,1,0.85083346,0.0217467940622779,1,"台灣大學法律系畢業;東吳大學法學碩士;德國慕尼黑大學法學博士;","桃園縣",1,0,0,0
"徐中雄","K",1.1326757489085,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000933941566160526,6.87188195703144,1996,"1",0,63439,0.0994,7,0,1,0.79483798,0.0190886842797562,1,"瑞穗國小;明道中學;豐原高中;東吳大學政治系;美國北科羅拉多大學特殊教育碩士;美國北科羅拉多大學殘障福利哲學博士;","台中縣",0,1,0,0
"徐少萍","K",1.16785193892903,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.13049861647124e-05,7.05754298268079,1996,"1",0,31037,0.1935,2,0,0,0.58043824,0.00288613631168402,0,"信義國小;基隆女中;東吳大學法律系畢;","基隆市",0,1,0,0
"徐成焜","K",0.713500148631877,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.202262521716717,4.84991327800896,1996,"1",0,66391,0.2449,3,0,0,0.97943859,0.0308450396123061,1,"錦水國小;苗栗中學;建國中學;台灣大學政治系;","苗栗縣",0,1,0,0
"施台生","K",0.886489312052676,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0765888435677511,5.64176994429391,1996,"1",0,47942,0.1502,4,0,0,0.75095236,0.0139492584969026,1,"崑山工專;中華醫專;陸軍官校專修班11期畢;","台南市",0,1,0,0
"施明德","D",-1.48875171662082,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0,7.0330399442015,1996,"1",0,60042,0.1881,4,0,0,0.94048395,0.00830628233846287,1,"高雄中學;陸軍砲兵學校;","台南市",1,0,0,0
"曹爾忠","K",1.16771569096146,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.00657813396744e-05,7.05681908754688,1996,"1",0,1743,0.5599,1,0,0,1.11910112,0.0223604820064632,1,"國立馬祖高中;中央警官學校;中央警官學校警政研究所法學碩士;","連江縣",0,1,0,0
"曾振農","K",1.03116118721199,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0174438107111057,6.34996104290307,1996,"1",0,65841,0.2818,3,0,0,1.1271683,0.0158367917126309,1,"高中畢業;","嘉義縣",0,1,0,0
"曾永權","K",1.1662755459446,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,9.23758446256004e-06,7.04916976496563,1996,"1",0,82168,0.2111,5,0,1,1.26678658,0.0298931069522717,1,"屏東中學畢;逢甲大學畢業;六十一年乙等特考關務人員優等及格;六十二年高考及格;美國諾斯諾普大學工業管理研究所;","屏東縣",0,1,0,0
"朱惠良","k2",-0.438818947314527,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.000223415469324721,NA,1996,"1",0,60485,0.1035,9,1,0,1.03488867,0.0330176631494806,0,"美國普林斯頓大學藝術考古研究所;國立台灣大學中國歷史學研究所藝術史組;國立台灣大學歷史學系;","台北市第一選舉區",0,0,0,0
"朱星羽","D",-0.814714398083738,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.454326306780654,3.91228859404104,1996,"1",0,37453,0.1035,6,0,1,0.72455954,0.0184253664334517,1,"正修工商專校工業管理科畢業;","高雄市第二選舉區",1,0,0,0
"朱高正","k2",-0.376316339684976,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.0022615273529184,NA,1996,"1",0,45936,0.127,6,0,1,0.88867025,0.0133397042198395,1,"國立台灣大學法律系法學組畢業;德國波昂大學哲學博士;","高雄市第二選舉區",0,0,0,0
"朱鳳芝","K",1.03951107530007,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0153079080821739,6.39211274501161,1996,"1",0,94326,0.1478,8,0,1,1.32999217,0.0254484592560504,0,"美國諾普大學管理科學碩士;成功大學外文系畢;","桃園縣",0,1,0,0
"李俊毅","D",-1.48558764911993,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,1.0011323150164e-05,7.01626781792428,1996,"1",0,48587,0.098,6,0,1,0.68620029,0.0685523676559939,1,"國立政治大學法學碩士;國立政治大學公共行政系學士;省立台南二中，城光中學、歸南國小;","台南縣",1,0,0,0
"李友吉","K",1.16606465646573,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,8.00012939759238e-06,7.04804997480841,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"國立藝專畢;乙等社工特考及格;","全國不分區",0,1,0,0
"李必賢","K",1.15737227668774,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,3.4385672451415e-05,7.00197218796321,1996,"1",0,55385,0.1531,6,0,1,1.07146904,0.0201038679744931,1,"日本大阪市立大學法律系畢;","高雄市第二選舉區",0,1,0,0
"李慶華","k2",-0.512385915210283,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.00783473826666941,NA,1996,"1",0,52997,0.0907,9,1,0,0.90677019,0.0268251958483254,1,"政治大學法律系學士;紐約大學歷史學博士;","台北市第一選舉區",0,0,0,0
"李應元","D",-1.45009882653754,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00149404591178996,6.82951999472673,1996,"1",0,51155,0.0362,17,1,0,0.65075154,0.0357339429039456,1,"台大公共衛生系學士;哈佛大學醫管碩士;北卡大學醫療經濟博士;","台北縣第二選舉區",1,0,0,0
"李文郎","K",1.16228923561152,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,8.96753800375148e-07,7.02801813041291,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"美國賓西法尼亞大學博士、碩士;","僑選",0,1,0,0
"李進勇","D",-1.52874112061622,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00159915243190767,7.24674192952796,1996,"1",0,38900,0.2425,2,0,0,0.72748808,0.00684448314705025,1,"台灣大學法學碩士;中興大學法律系畢;司法官特考及格;司法官訓練所第十六期結業;","基隆市",1,0,0,0
"李顯榮","K",1.15492566412126,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,6.9065114073719e-05,6.98903009344727,1996,"1",0,47115,0.0333,17,1,0,0.599358,0.211891824510976,1,"省立台南一中畢業;淡江大學建竹系畢業;美國諾瓦大學企業管理博士;高考及格建築師;","台北縣第二選舉區",0,1,0,0
"李鳴皋","K",1.16520853737369,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,3.89008920705209e-06,7.04350502978256,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"海軍官校四十四年班畢業;外語學校情報軍官英語班第四期;三軍大學海軍指參學院五十九年畢業;三軍大學戢爭學院六十九年畢業;","全國不分區",0,1,0,0
"杜振榮","K",0.984078917316732,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.032097334255529,6.11489134413998,1996,"1",0,39743,0.1245,4,0,0,0.62252512,0.0133796704881303,1,"勝利國小;台南二中初、高中部畢;淡江大學商學系畢;高雄師大教育研究所結;","台南市",0,1,0,0
"林光華","D",-1.42592279683479,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00394747316147868,6.70374434437665,1996,"1",0,60249,0.355,2,0,0,1.06499682,0.0130587471870174,1,"竹北市六家國小;省立新竹商職初、高級部;國立師範大學;","新竹縣",1,0,0,0
"林哲夫","D",-1.47120112363412,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000308023314184707,6.9402600462282,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"國立台灣師範大學理學士;加拿大多倫多大學核子物理學碩士、博士;","僑選",1,0,0,0
"林國龍","K",1.1426006672937,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000425825476956284,6.9240153683326,1996,"1",0,64648,0.1661,5,0,1,0.9966802,0.0208148739039321,1,"台東師範學校;屏東師範專科學校;","屏東縣",0,1,0,0
"林宏宗","O1",0.163302386017558,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.453084570083536,0.379932879651573,NA,1996,"1",0,41234,0.138,6,0,1,0.96566099,0.0151484980317741,1,"高雄高工;南開大學經濟研究所碩士;","高雄市第一選舉區",0,0,0,0
"林建榮","K",1.15686790957872,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,4.05552052521961e-05,6.99930320653216,1996,"1",0,57565,0.3371,2,0,0,1.01127247,0.00980973630631139,1,"員山鄉深溝國小;省立宜蘭中學初中部、高中部;國立台灣師範大學公訓系;國立台灣大學教育研究所結果;","宜蘭縣",0,1,0,0
"林志嘉","K",1.14630422038995,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000286692152499761,6.9435197911757,1996,"1",0,58125,0.0411,17,1,0,0.73941811,0.071161339246889,1,"五股國小;徐匯中學初中;徐匯中學高中;輔仁大學;美國田納西州州立大學化學碩士;美國田納西州州立大學政府行政管理博士班;","台北縣第二選舉區",0,1,0,0
"林忠正","D",-1.48736253556882,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,1.92982399521402e-06,7.02567369127976,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"太平國民小學畢業;萬華初級中學畢業;台北建國高級中學畢業;東海大學經濟學系學士;台灣大學經濟學研究所碩士班;美國夏威夷大學經濟學博士;人口學專家文憑;","全國不分區",1,0,0,0
"林政則","K",0.863565218590978,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0898027009743507,5.5333949636842,1996,"1",0,56842,0.4323,2,0,0,1.29672636,0.00816939445781264,1,"新竹國小;新竹一中(今建華國中);省立新竹高商;東吳大學畢業;美國國家大學(NATIONAL UNIVERSITY)教育行政碩;士(M.S);","新竹市",0,1,0,0
"林文郎","D",-1.49010820110301,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,1.84005015044472e-06,7.04023654518094,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"北市高商畢業;","全國不分區",1,0,0,0
"林明義","K",0.952992651781319,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0442023522867021,5.96211556062354,1996,"1",0,65726,0.1908,4,0,0,0.95412434,0.0331793754121381,1,"虎尾鎮大屯國小;私立揚中學畢;私立嘉南高職;","雲林縣",0,1,0,0
"林源山","K",0.812114788996883,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.123286249805943,5.2939866766734,1996,"1",0,46372,0.0852,6,0,1,0.5964628,0.0221442039806119,1,"三信初、高商畢;後幹班73期結業;革命實踐研究院講習班47期結業;美國舊金山林肯大學企管系畢;","高雄縣",0,1,0,0
"林濁水","D",-1.46551532703687,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000539929800897039,6.91033462489682,1996,"1",0,46059,0.0765,9,1,0,0.7646424,0.00574251458119386,1,"政治大學畢業;","台北市第二選舉區",1,0,0,0
"林炳坤","K",1.03511805038058,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0164142619188821,6.36991860078367,1996,"1",0,26055,0.6585,1,0,0,1.31697331,0.0357379167042698,1,"國立臺灣大學圖書館系畢業;","澎湖縣",0,1,0,0
"林瑞卿","D",-1.50666577349866,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000320913433822565,7.1283765826224,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"無;","全國不分區",1,0,0,0
"林耀興","K",0.88946977252468,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0749480603532753,5.65593745143342,1996,"1",0,78894,0.1236,7,0,1,0.9884763,0.0216328932206881,1,"省立台中一中畢業;台北醫學院醫學系畢業;日本滋賀醫科大學生體代謝調節系博士;","台中縣",0,1,0,0
"林豐喜","D",-1.37098528084473,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.0138689333954018,6.42227854675047,1996,"1",0,66411,0.104,7,0,1,0.83207467,0.0181684577792699,1,"小學;","全國不分區",1,0,0,0
"林郁方","k2",-0.403074147404238,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.000432544779454693,NA,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"維吉尼亞大學政治學博士;","全國不分區",0,0,0,0
"林錫山","K",1.1564744511163,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,4.57213354173541e-05,6.99722147848116,1996,"1",0,62668,0.1056,7,0,1,0.84508049,0.0179197665022477,1,"彰化市東芳國小;彰化市彰安國小;省立彰化高工畢;南亞工專土木科畢;","彰化縣",0,1,0,0
"柯建銘","D",-1.50963023399961,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000435912487936556,7.14421500857049,1996,"1",0,42476,0.323,2,0,0,0.96899738,0.00332153672436044,1,"新竹國小;新竹一中(建華國中);新竹中學;中山醫學院;淡江大學管理科學研究所研究;","新竹市",1,0,0,0
"楊吉雄","K",1.1679624708714,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.23375752241011e-05,7.05813027402243,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"高中畢業;","全國不分區",0,1,0,0
"沈富雄","D",-1.49410643075379,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,2.86729634459209e-05,7.06146989158943,1996,"1",0,48275,0.0826,9,1,0,0.82597753,0.0116542216420244,1,"省立台南一中畢業;國立台灣大學醫學院醫科畢業;美國加州大學舊金山醫學中心藥理學博士;美國華頓大學醫學院腎臟科後博士;","台北市第一選舉區",1,0,0,0
"沈智慧","K",1.1523573332951,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000118349881481605,6.97545701354774,1996,"1",0,57920,0.1639,4,0,0,0.81941933,0.0127802722285588,0,"中國文化大學新聞系畢業、輔系企管;","台中市",0,1,0,0
"洪冬桂","K",1.10633797552294,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.00323740868451833,6.73449051027075,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,0,"國立台灣師範大學教育博士;美國柏克萊加州大學研究;革命實踐研究院研究班31期;","全國不分區",0,1,0,0
"洪奇昌","D",-1.39300313864845,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00916779018373015,6.53435958951422,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"北市日新國小;大同中學;建國中學;台北醫學院醫學系;台大公共衛生研究所醫學碩士;加拿大多倫多大學社區醫學研究所醫學碩士;","全國不分區",1,0,0,0
"洪性榮","K",0.943323363961429,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0483616582987035,5.91498919758913,1996,"1",0,61566,0.1038,7,0,1,0.83021997,0.042186201751119,1,"二林國小畢;二林農校畢業;國立彰化師範大學;省立台中師專;","彰化縣",0,1,0,0
"洪昭男","K",1.16586161479623,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,6.89276889729634e-06,7.04697193933711,1996,"1",0,53170,0.1504,4,0,0,0.75221902,0.00681470832773683,1,"奧地利維也納音樂學院;美國港橋大學碩士;","台中市",0,1,0,0
"洪玉欽","K",1.1632362064666,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0,7.0330399442015,1996,"1",0,70618,0.1425,6,0,1,0.99734687,0.0253585141825035,1,"下營國小;新營中學初高中部;東吳大學法律系;文化大學法律研究所法學碩士;國家法學博士;","台南縣",0,1,0,0
"洪秀柱","K",1.13514986760963,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000788842430388199,6.88485952372707,1996,"1",0,49563,0.035,17,1,0,0.63049943,0.0877935732539014,0,"省立台北第二女中;私立文化大學法律系;師範大學教育研究所進修;美國密蘇里州立杜魯門大學教育學碩士;","台北縣第三選舉區",0,1,0,0
